"","title","year","length","rating","votes","mpaa","Action","Animation","Comedy","Drama","budget_millions"
"1112","Mousehunt",1997,99,5.8,4637,"PG",1,0,1,0,38
"1113","Mr 3000",2004,104,5.7,1459,"PG-13",0,0,1,1,30
"1114","Mr. Deeds",2002,96,5.5,11729,"PG-13",0,0,1,0,50
"1115","Mrs. Winterbourne",1996,105,5.8,1310,"PG-13",0,0,1,0,25
"1116","Mudge Boy, The",2003,94,6.8,204,"R",0,0,0,1,0.8
"1117","Muertos de risa",1999,111,6.3,334,"R",0,0,1,0,3.5
"1118","Mulholland Dr.",2001,147,7.9,35504,"R",0,0,0,1,15
"1119","Multiplicity",1996,117,5.7,5241,"PG-13",0,0,1,0,45
"1120","Mumford",1999,112,6.9,3384,"R",0,0,1,1,28
"1121","Mummy Returns, The",2001,130,6.1,23551,"PG-13",1,0,0,0,98
"1122","Mummy, The",1999,124,6.5,36216,"PG-13",1,0,1,0,76
"1123","Murder by Numbers",2002,120,6,8358,"R",0,0,0,0,50
"1124","Murders in the Rue Morgue",1971,87,4.9,137,"PG-13",0,0,0,0,0.7
"1125","Muriel's Wedding",1994,106,7.1,6685,"R",0,0,1,0,3
"1126","Muse, The",1999,97,5.6,3513,"PG-13",0,0,1,0,15
"1127","Music of the Heart",1999,124,6.6,2348,"PG",0,0,0,1,27
"1128","Musketeer, The",2001,104,4.4,3966,"PG-13",1,0,0,1,40
"1129","Mutant Aliens",2001,81,6.4,223,"R",0,1,1,0,0.2
"1130","Mutant Species",1995,100,2.8,42,"R",0,0,0,0,1.75
"1131","Mute Witness",1994,95,6.8,1202,"R",0,0,1,0,2
"1132","My Best Friend's Wedding",1997,105,6.4,16648,"PG-13",0,0,1,0,46
"1133","My Big Fat Greek Wedding",2002,95,6.9,21675,"PG",0,0,1,0,5
"1134","My Boss's Daughter",2003,90,4.1,2765,"R",0,0,1,0,14
"1135","My Cousin Vinny",1992,120,7.2,10877,"R",0,0,1,0,11
"1136","My Dog Skip",2000,95,7.1,3109,"PG",0,0,0,1,7
"1137","My Family",1995,128,7,859,"R",0,0,0,1,5.5
"1138","My Favorite Martian",1999,93,4.5,1942,"PG",0,0,1,0,60
"1139","My Fellow Americans",1996,101,6.3,2752,"PG-13",0,0,1,0,21.5
"1140","My Life's in Turnaround",1993,84,3.9,196,"R",0,0,1,0,0.022
"1141","My Little Eye",2002,92,5.9,2244,"R",0,0,0,0,3
"1142","Mystery Men",1999,121,5.8,13331,"PG-13",1,0,1,0,68
"1143","Mystery, Alaska",1999,119,6.4,5440,"R",0,0,1,1,28
"1144","Mystic Masseur, The",2001,117,5.2,157,"PG",0,0,0,1,2.5
"1145","Mystic River",2003,137,8,28969,"R",0,0,0,1,30
"1146","Nadie conoce a nadie",1999,108,6.3,565,"R",0,0,0,0,3
"1147","Nadja",1994,93,5.7,781,"R",0,0,0,1,1
"1148","Napoleon Dynamite",2004,86,7.2,17524,"PG",0,0,1,0,0.4
"1149","Naqoyqatsi",2002,89,6.9,575,"PG",0,0,0,0,3
"1150","Narc",2002,105,7.3,7185,"R",0,0,0,1,7.5
"1151","National Treasure",2004,131,6.6,12361,"PG",1,0,0,0,100
"1152","Nattens engel",1998,98,4.9,209,"R",0,0,0,0,0.7
"1153","Naturally Native",1998,107,8.5,26,"PG-13",0,0,0,0,0.7
"1154","Negotiator, The",1998,139,7.2,19100,"R",1,0,0,1,50
"1155","Nemesis Game",2003,92,5.5,339,"R",0,0,0,0,3
"1156","Net, The",1995,114,5.6,12201,"PG-13",1,0,0,1,22
"1157","Never Again",2001,98,5.7,309,"R",0,0,1,0,0.5
"1158","New Guy, The",2002,89,5.2,4266,"PG-13",0,0,1,0,13
"1159","New Jersey Drive",1995,98,5.4,348,"R",0,0,0,1,5
"1160","Newton Boys, The",1998,113,5.7,2003,"PG-13",1,0,0,1,27
"1161","Next Best Thing, The",2000,108,4.7,3131,"PG-13",0,0,1,1,25
"1162","Next Friday",2000,98,5.2,3457,"R",0,0,1,0,9.5
"1163","Next Stop Wonderland",1998,104,6.7,1467,"R",0,0,1,1,1
"1164","Nicholas Nickleby",2002,132,7.4,1651,"PG",0,0,0,1,10
"1165","Nil by Mouth",1997,128,6.9,1159,"R",0,0,0,1,9
"1166","Ninth Gate, The",1999,133,6.4,16291,"R",0,0,0,0,38
"1167","Nixon",1995,212,6.8,5837,"R",0,0,0,1,50
"1168","No Code of Conduct",1998,95,4.4,314,"R",1,0,0,1,12
"1169","No Looking Back",1998,96,5.6,622,"R",0,0,1,1,5
"1170","No Return",2003,86,6.1,18,"PG-13",0,0,0,0,0.035
"1171","No Way Home",1996,99,6.6,328,"R",0,0,0,1,4
"1172","No Witness",2004,95,3.8,9,"R",0,0,0,0,0.35
"1173","Nochnoy dozor",2004,115,6.3,1020,"R",1,0,0,0,4.2
"1174","Northfork",2003,103,6.2,1521,"PG-13",0,0,0,1,1.9
"1175","Not Another Teen Movie",2001,89,5.2,10295,"R",0,0,1,0,16
"1176","Notebook, The",2004,123,7.8,8830,"PG-13",0,0,0,1,30
"1177","Notting Hill",1999,124,7,27285,"PG-13",0,0,1,1,42
"1178","November",2004,73,2.8,164,"R",0,0,0,1,0.3
"1179","Novocaine",2001,95,5.9,2829,"R",0,0,1,1,6
"1180","Nueve reinas",2000,114,7.6,3721,"R",0,0,0,1,1.5
"1181","Nurse Betty",2000,110,6.6,10441,"R",0,0,1,1,24
"1182","Nutty Professor II: The Klumps",2000,109,4.5,5825,"PG-13",0,0,1,0,84
"1183","Nutty Professor, The",1996,95,5.8,12273,"PG-13",0,0,1,0,54
"1184","O",2001,95,6.3,4555,"R",0,0,0,1,5
"1185","O Brother, Where Art Thou?",2000,106,7.8,37961,"PG-13",0,0,1,0,26
"1186","Object of My Affection, The",1998,111,6,4027,"R",0,0,1,1,15
"1187","Ocean's Eleven",2001,116,7.5,44662,"PG-13",0,0,1,0,85
"1188","Ocean's Twelve",2004,125,6,14797,"PG-13",0,0,1,0,110
"1189","Octane",2003,91,4.4,355,"R",0,0,0,0,11.5
"1190","Octopus",2000,95,2.8,367,"PG-13",0,0,0,0,5
"1191","Office Space",1999,89,7.7,26134,"R",0,0,1,0,10
"1192","Old School",2003,92,6.7,14283,"R",0,0,1,0,24
"1193","On the Border",1998,103,4.8,165,"R",0,0,0,1,3
"1194","On the Line",2001,85,4.1,1013,"PG",0,0,1,0,10
"1195","Once Upon a Time in America",1984,227,8.2,19292,"R",0,0,0,1,30
"1196","Once Upon a Time in Mexico",2003,102,6,14732,"R",1,0,0,0,29
"1197","One Eight Seven",1997,119,6.3,2958,"R",0,0,0,1,23
"1198","One Eyed King",2001,105,5.1,81,"R",0,0,0,1,6.5
"1199","One Hell of a Christmas",2002,94,2.7,70,"R",0,0,1,0,0.4
"1200","One Hour Photo",2002,96,7.1,17130,"R",0,0,0,1,12
"1201","One Night Stand",1997,102,5.7,1709,"R",0,0,0,1,24
"1202","One True Thing",1998,127,7,2534,"R",0,0,0,1,30
"1203","Onegin",1999,106,6.3,1327,"R",0,0,0,1,14
"1204","Open Range",2003,139,7.5,8799,"R",0,0,0,1,26
"1205","Open Water",2003,79,6.1,7204,"R",0,0,0,1,0.13
"1206","Orange County",2002,82,6.1,8526,"PG-13",0,0,1,1,18
"1207","Order, The",2003,102,4.6,3004,"R",0,0,0,0,38
"1208","Orgazmo",1997,92,5.7,5128,"NC-17",0,0,1,0,1
"1209","Original Gangstas",1996,99,5.3,216,"R",0,0,0,1,4.8
"1210","Original Kings of Comedy, The",2000,115,6.1,1386,"R",0,0,1,0,3
"1211","Original Sin",2001,116,5.5,4592,"R",0,0,0,1,26
"1212","Osama",2003,83,7.5,1546,"PG-13",0,0,0,1,0.046
"1213","Osmosis Jones",2001,95,6.2,3410,"PG",0,1,1,0,75
"1214","Othello",1995,123,6.8,1852,"R",0,0,0,1,11
"1215","Other Side of Heaven, The",2001,113,6.5,683,"PG",0,0,0,1,7
"1216","Others, The",2001,104,7.8,36914,"PG-13",0,0,0,1,17
"1217","Otra conquista, La",1998,106,6.7,140,"R",0,0,0,1,3.5
"1218","Out Cold",2001,92,5.2,1990,"PG-13",0,0,1,0,11
"1219","Out for a Kill",2003,88,3,818,"R",1,0,0,0,20
"1220","Out of Reach",2004,88,3.7,399,"R",1,0,0,1,20
"1221","Out-of-Sync",1995,105,4.7,37,"R",0,0,0,1,1.5
"1222","Out-of-Towners, The",1999,90,5,2919,"PG-13",0,0,1,0,40
"1223","Outbreak",1995,127,6.4,13796,"R",0,0,0,1,50
"1224","Outside Providence",1999,96,6.1,2735,"R",0,0,1,1,7
"1225","Outsiders, The",1983,91,6.8,7125,"PG-13",0,0,0,1,10
"1226","Overnight Delivery",1998,87,5.9,1229,"PG-13",0,0,1,0,12
"1227","Owning Mahowny",2003,104,7,1999,"R",0,0,0,1,10
"1228","P.S. Your Cat Is Dead",2002,88,4.7,185,"R",0,0,1,0,2
"1229","Pacifier, The",2005,95,4.9,2179,"PG",1,0,1,0,56
"1230","Packing Suburbia, A",1999,90,4.5,38,"R",0,0,0,1,0.04
"1231","Paint Your Wagon",1969,158,6.5,2011,"PG-13",0,0,1,0,20
"1232","Pandaemonium",2000,124,6.2,244,"PG-13",0,0,0,1,15
"1233","Panic",2000,88,6.9,2524,"R",0,0,1,1,1
"1234","Panic Room",2002,113,7,24302,"R",0,0,0,1,48
"1235","Paparazzi",2004,84,5.6,2028,"PG-13",0,0,0,1,20
"1236","Party Monster",2003,98,5.8,1976,"R",0,0,0,1,5
"1237","Passion of the Christ, The",2004,127,7.4,34046,"R",0,0,0,1,30
"1238","Pat Garrett and Billy the Kid",1973,122,6.9,1469,"R",0,0,0,0,4.638783
"1239","Patch Adams",1998,115,6.1,12110,"PG-13",0,0,1,1,50
"1240","Patriot, The",2000,164,6.8,29665,"R",1,0,0,1,110
"1241","Pavilion of Women",2001,111,5.3,209,"R",0,0,0,1,5
"1242","Pay It Forward",2000,123,6.7,13531,"PG-13",0,0,0,1,40
"1243","Payback",1999,100,6.8,18252,"R",0,0,0,0,50
"1244","Paycheck",2003,119,6.1,10383,"PG-13",1,0,0,0,60
"1245","Peacekeeper, The",1997,98,4.6,505,"R",1,0,0,0,10
"1246","Peacemaker, The",1997,124,5.9,8994,"R",1,0,0,0,50
"1247","Pearl Harbor",2001,184,5.4,33409,"R",1,0,0,1,135.25
"1248","Pecker",1998,87,6.4,4013,"R",0,0,1,0,6
"1249","Pep Squad",1998,94,4.4,120,"R",0,0,1,0,0.5
"1250","Perez Family, The",1995,113,6,517,"R",0,0,1,1,11
"1251","Perfect Storm, The",2000,130,6.2,24946,"PG-13",1,0,0,1,120
"1252","Perfect Target",1997,89,4.2,55,"R",1,0,0,0,3.5
"1253","Pest, The",1997,84,3.8,1405,"PG-13",0,0,1,0,17
"1254","Peter Pan",2003,113,7.2,5596,"PG",1,0,0,0,100
"1255","Phantasm IV: Oblivion",1998,90,4.5,492,"R",0,0,0,0,0.65
"1256","Phantom of the Opera, The",2004,143,7.2,11283,"PG-13",0,0,0,1,60
"1257","Phantom, The",1996,100,5,3329,"PG",1,0,0,0,45
"1258","Phenomenon",1996,123,6.3,12075,"PG",0,0,0,1,32
"1259","Phone Booth",2002,81,7.3,21075,"R",0,0,0,0,10
"1260","Pi",1998,84,7.5,19431,"R",0,0,0,0,0.06
"1261","Pianist, The",2002,150,8.5,30467,"R",0,0,0,1,35
"1262","Picture Perfect",1997,105,5.6,3019,"PG-13",0,0,1,0,19
"1263","Pieces of April",2003,80,7.3,4604,"PG-13",0,0,1,1,0.3
"1264","Pink Flamingos",1972,108,6.1,2029,"NC-17",0,0,1,0,0.012
"1265","Pirates of the Caribbean: The Curse of the Black Pearl",2003,143,8,60812,"PG-13",1,0,1,0,125
"1266","Pitch Black",2000,112,6.7,18522,"R",0,0,0,0,23
"1267","Planet of the Apes",2001,119,5.6,28601,"PG-13",1,0,0,0,100
"1268","Play It to the Bone",1999,124,5.1,2645,"R",0,0,1,1,24
"1269","Playing by Heart",1998,121,7.1,4958,"R",0,0,0,1,14
"1270","Pleasantville",1998,124,7.5,22561,"PG-13",0,0,1,1,40
"1271","Pledge, The",2001,123,6.9,9852,"R",0,0,0,1,45
"1272","Point Men, The",2001,88,4.6,266,"R",1,0,0,0,6.1
"1273","Pollock",2000,132,7.1,4013,"R",0,0,0,1,6
"1274","Poolhall Junkies",2002,94,6.6,1411,"R",0,0,0,1,4
"1275","Pootie Tang",2001,70,4.1,1921,"PG-13",1,0,1,0,3
"1276","Possums",1998,97,5.3,66,"PG",0,0,1,1,1.4
"1277","Postino, Il",1994,108,7.6,8342,"PG",0,0,1,1,3
"1278","Powerpuff Girls, The",2002,73,6.2,1334,"PG",1,1,1,0,10
"1279","Practical Magic",1998,103,5.4,7786,"PG-13",0,0,0,1,60
"1280","Price of Glory",2000,118,6.2,265,"PG-13",0,0,0,1,10
"1281","Primal Fear",1996,129,7.5,12467,"R",0,0,0,1,30
"1282","Primary Colors",1998,143,6.8,7756,"R",0,0,1,1,65
"1283","Primer",2004,77,6.4,1466,"PG-13",0,0,0,1,0.007
"1284","Prince of Egypt, The",1998,99,6.9,9212,"PG",0,1,0,1,60
"1285","Private Parts",1997,109,6.6,9289,"R",0,0,1,1,20
"1286","Progeny",1998,99,4.2,291,"R",0,0,0,0,2.5
"1287","Proof of Life",2000,135,6.3,9592,"R",1,0,0,1,65
"1288","Prophecy, The",1995,98,6.4,4148,"R",0,0,0,0,8
"1289","Proximity",2001,98,4.9,189,"R",0,0,0,0,6
"1290","Prozac Nation",2001,99,6.2,940,"R",0,0,0,1,9
"1291","Psycho",1998,105,5,7255,"R",0,0,0,0,20
"1292","Pulp Fiction",1994,168,8.8,132745,"R",0,0,0,1,8
"1293","Punch-Drunk Love",2002,95,7.5,18169,"R",0,0,1,1,25
"1294","Punisher, The",2004,124,6.2,9989,"R",1,0,0,0,33
"1295","Pushing Tin",1999,119,5.9,7528,"R",0,0,1,1,33
"1296","Queen of the Damned",2002,104,4.7,6999,"R",0,0,0,0,35
"1297","Queen's Messenger II",2001,90,6,27,"R",1,0,0,0,4
"1298","Quiet American, The",2002,101,7.4,5957,"R",0,0,0,1,30
"1299","R.M., The",2003,101,5.3,213,"PG",0,0,1,0,0.5
"1300","Rabbit-Proof Fence",2002,94,7.7,5079,"PG",0,0,0,1,6
"1301","Rachel's Attic",2002,112,2.4,58,"R",1,0,0,1,0.083
"1302","Radio",2003,109,6.9,3594,"PG",0,0,0,1,35
"1303","Rage: Carrie 2, The",1999,104,4.4,3280,"R",0,0,0,0,21
"1304","Rainbow Thief, The",1990,87,6,49,"R",0,0,0,1,10
"1305","Rainmaker, The",1997,135,6.8,8620,"PG-13",0,0,0,1,40
"1306","Raise Your Voice",2004,103,4.3,1626,"PG",0,0,0,1,15
"1307","Raising Victor Vargas",2002,88,6.7,1785,"R",0,0,1,1,0.8
"1308","Raising the Stakes",1999,88,4.7,24,"R",0,0,0,1,0.1
"1309","Rancid Aluminium",2000,88,3.5,352,"R",0,0,0,1,12
"1310","Random Hearts",1999,133,4.8,5919,"R",0,0,0,1,64
"1311","Ransom",1996,139,6.6,17678,"R",1,0,0,1,80
"1312","Rare Birds",2001,99,6.4,471,"R",0,0,1,1,5
"1313","Rat Race",2001,112,6.5,13913,"PG-13",0,0,1,0,48
"1314","Ravenous",1999,108,6.7,5915,"R",0,0,1,1,12
"1315","Real Cancun, The",2003,96,2.8,1504,"R",0,0,0,0,8
"1316","Real Women Have Curves",2002,87,7,1944,"PG-13",0,0,1,1,3
"1317","Rebel Without a Cause",1955,111,7.8,11055,"PG-13",0,0,0,1,1.5
"1318","Red Baron, The",1971,97,4.9,120,"PG-13",1,0,0,1,0.9
"1319","Red Dragon",2002,124,7.3,21089,"R",0,0,0,0,90
"1320","Red Planet",2000,106,5.3,8623,"PG-13",1,0,0,0,75
"1321","Reign of Fire",2002,101,5.8,11452,"PG-13",1,0,0,0,95
"1322","Reindeer Games",2000,124,5.5,7120,"R",1,0,0,1,36
"1323","Relic, The",1997,110,5.3,5102,"R",0,0,0,0,40
"1324","Remember the Titans",2000,113,7.4,14195,"PG",0,0,0,1,30
"1325","Replacement Killers, The",1998,87,5.8,6825,"R",1,0,0,0,30
"1326","Replacements, The",2000,114,6.2,7617,"PG-13",0,0,1,0,50
"1327","Repli-Kate",2002,121,5.6,791,"R",0,0,1,0,4
"1328","Requiem for a Dream",2000,102,8.4,47845,"R",0,0,0,1,4.5
"1329","Reservoir Dogs",1992,99,8.3,69240,"R",0,0,0,0,1.2
"1330","Resident Evil",2002,100,6.2,18978,"R",1,0,0,0,35
"1331","Resident Evil: Apocalypse",2004,94,5.6,10486,"R",1,0,0,0,50
"1332","Restoration",1995,117,6.6,1874,"R",0,0,0,1,18
"1333","Resurrection Man",1998,102,4.6,214,"R",0,0,0,1,4
"1334","Return of Dracula, The",1958,77,4.6,61,"PG",0,0,0,0,0.125
"1335","Return to Me",2000,115,6.9,5057,"PG",0,0,1,1,24
"1336","Revelation",1999,98,4.5,203,"PG-13",1,0,0,1,5
"1337","Riders",2002,83,5.1,922,"R",1,0,0,0,15
"1338","Riding in Cars with Boys",2001,132,6.2,4627,"PG-13",0,0,1,1,48
"1339","Riding the Bullet",2004,98,5.2,438,"R",0,0,0,0,5
"1340","Ring, The",2002,115,7.4,30687,"PG-13",0,0,0,1,45
"1341","Ripley's Game",2002,112,6.6,2680,"R",0,0,0,1,30
"1342","Road Trip",2000,94,6.3,15981,"R",0,0,1,0,15.6
"1343","Road to El Dorado, The",2000,89,6.3,2838,"PG",1,1,1,0,95
"1344","Road to Perdition",2002,117,7.7,30526,"R",0,0,0,1,80
"1345","Rob Roy",1995,133,6.8,6652,"R",1,0,0,1,28
"1346","Robots",2005,91,6.4,4089,"PG",0,1,1,0,75
"1347","Rock 'n' Roll Frankenstein",1999,88,4.3,66,"R",0,0,1,0,0.25
"1348","Rock Star",2001,105,5.8,5100,"R",0,0,1,1,38
"1349","Rock, The",1996,136,7,46184,"R",1,0,0,1,75
"1350","Rollerball",2002,97,2.8,5328,"R",1,0,0,0,70
"1351","Romeo + Juliet",1996,120,6.7,22306,"PG-13",1,0,0,1,14.5
"1352","Romeo Must Die",2000,115,5.8,10229,"R",1,0,0,1,25
"1353","Ronin",1998,121,7,21982,"R",1,0,0,0,55
"1354","Room, The",2003,99,2.7,81,"R",0,0,1,1,6
"1355","Rosewood",1997,140,6.8,1840,"R",1,0,0,1,31
"1356","Rounders",1998,121,7.2,13621,"R",0,0,0,1,12
"1357","Route 666",2001,86,4,487,"R",1,0,0,0,2.3
"1358","Royal Tenenbaums, The",2001,111,7.6,31227,"R",0,0,1,1,21
"1359","Rugrats Go Wild!",2003,81,4.8,423,"PG",0,1,1,0,25
"1360","Rules of Attraction, The",2002,110,6.7,8552,"R",0,0,1,1,4
"1361","Rules of Engagement",2000,128,6.3,7903,"R",0,0,0,1,60
"1362","Rumpelstiltskin",1996,87,3,265,"R",0,0,0,0,3
"1363","Runaway Bride",1999,116,5.4,12624,"PG",0,0,1,0,70
"1364","Runaway Jury",2003,127,7.1,10761,"PG-13",0,0,0,1,60
"1365","Rundown, The",2003,104,6.5,8067,"PG-13",1,0,1,0,85
"1366","Rush Hour",1998,93,6.7,18336,"PG-13",1,0,1,0,35
"1367","Rush Hour 2",2001,86,6.5,16581,"PG-13",1,0,1,0,90
"1368","Rushmore",1998,93,7.7,22209,"R",0,0,1,1,10
"1369","Ryan's Daughter",1970,202,7.4,965,"R",0,0,0,1,15
"1370","S.W.A.T.",2003,117,5.9,12732,"PG-13",1,0,0,0,80
"1371","Sabrina",1995,127,6.1,7547,"PG",0,0,1,1,58
"1372","Safe Men",1998,88,6.1,590,"R",0,0,1,0,1
"1373","Sahara",2005,124,5.8,3004,"PG-13",1,0,1,0,130
"1374","Saint, The",1997,116,5.7,12591,"PG-13",1,0,0,0,70
"1375","Saints and Soldiers",2003,90,6.9,689,"PG-13",1,0,0,1,0.78
"1376","Salton Sea, The",2002,107,7.2,5070,"R",0,0,0,1,18
"1377","Samsara",2001,138,7.6,636,"R",1,0,0,1,3
"1378","Sand Pebbles, The",1966,193,7.6,1773,"PG-13",0,0,0,1,12
"1379","Sangre eterna",2002,108,4.6,148,"R",0,0,0,0,0.025
"1380","Santa sangre",1989,123,7.2,1165,"R",0,0,0,1,0.787
"1381","Saturn",1999,94,5.5,43,"R",0,0,0,1,0.35
"1382","Savage",1995,99,4.1,93,"R",1,0,0,0,5
"1383","Save the Last Dance",2001,112,6.1,7613,"PG-13",0,0,0,1,13
"1384","Saved!",2004,92,7.1,6504,"PG-13",0,0,1,1,5
"1385","Saving Private Ryan",1998,170,8.3,100267,"R",1,0,0,1,70
"1386","Saving Silverman",2001,96,5.4,6684,"R",0,0,1,0,22
"1387","Savior",1998,104,7.2,1775,"R",0,0,0,1,10
"1388","Saw",2004,100,7.5,17191,"R",0,0,0,0,1.2
"1389","Say It Isn't So",2001,93,4.6,3144,"R",0,0,1,0,25
"1390","Scarlet Letter, The",1995,135,4.4,2426,"R",0,0,0,1,50
"1391","Scary Movie",2000,88,5.5,23293,"R",0,0,1,0,19
"1392","Scary Movie 2",2001,83,4.2,12035,"R",0,0,1,0,45
"1393","Scary Movie 3",2003,84,5.3,9225,"PG-13",0,0,1,0,45
"1394","Schindler's List",1993,195,8.8,97667,"R",0,0,0,1,25
"1395","School of Rock, The",2003,108,7.4,16452,"PG-13",0,0,1,0,20
"1396","Scooby-Doo",2002,86,4.8,9618,"PG",0,0,1,0,84
"1397","Score, The",2001,124,6.8,16106,"R",0,0,0,1,68
"1398","Scorpion King, The",2002,92,5.3,10111,"PG-13",1,0,0,0,60
"1399","Scream",1996,111,7,43652,"R",0,0,0,0,15
"1400","Scream 2",1997,120,5.9,21533,"R",0,0,0,0,24
"1401","Scream 3",2000,116,5.4,15403,"R",0,0,0,0,40
"1402","Screamers",1995,108,5.6,2725,"R",0,0,0,0,11
"1403","Screwed",2000,78,4.8,1592,"PG-13",0,0,1,0,10
"1404","Se7en",1995,127,8.4,88371,"R",0,0,0,1,30
"1405","Sea Ghost",2004,90,3.7,10,"R",0,0,0,0,1.5
"1406","Seabiscuit",2003,141,7.5,11552,"PG-13",0,0,0,1,86
"1407","Search and Destroy",1995,90,5,402,"R",0,0,1,1,4
"1408","Searching for Debra Winger",2002,97,5.6,301,"R",0,0,0,0,0.6
"1409","Secondhand Lions",2003,120,7.4,5543,"PG",0,0,1,1,30
"1410","Secret Kingdom, The",1998,90,3.9,47,"PG",0,0,0,0,0.8
"1411","Secret Window",2004,96,6.3,13260,"PG-13",0,0,0,1,40
"1412","Secrets & Lies",1996,136,7.9,7747,"R",0,0,1,1,4.5
"1413","See Spot Run",2001,94,5,1193,"PG",0,0,1,0,16
"1414","Seed of Chucky",2004,87,5.1,1342,"R",0,0,1,0,12
"1415","Selena",1997,127,6.1,2870,"PG",0,0,0,1,20
"1416","Sense and Sensibility",1995,136,7.7,13904,"PG",0,0,1,1,16.5
"1417","Serendipity",2001,90,6.6,10795,"PG-13",0,0,1,0,28
"1418","Serial Mom",1994,95,6.3,4750,"R",0,0,1,0,13
"1419","Serpent's Kiss, The",1997,104,5.3,368,"R",0,0,0,1,13
"1420","Serpent's Lair",1995,90,4.1,118,"R",0,0,0,0,4
"1421","Serving Sara",2002,99,4.6,2990,"PG-13",0,0,1,0,29
"1422","Session 9",2001,97,6.6,3718,"R",0,0,0,1,1.5
"1423","Set It Off",1996,123,6.1,1619,"R",1,0,0,1,9
"1424","Seven Years in Tibet",1997,139,6.6,9426,"PG-13",0,0,0,1,70
"1425","Sgt. Bilko",1996,93,5.1,3712,"PG",0,0,1,0,39
"1426","Shade",2003,101,6.5,1616,"R",0,0,0,1,6.8
"1427","Shadow Conspiracy",1997,103,4.5,1078,"R",1,0,0,0,45
"1428","Shaft",2000,99,6,13742,"R",1,0,0,0,46
"1429","Shakes the Clown",1992,87,5.5,838,"R",0,0,1,0,1.4
"1430","Shakespeare in Love",1998,122,7.5,41999,"R",0,0,1,1,25
"1431","Shall We Dance",2004,106,6,3479,"PG-13",0,0,1,1,40
"1432","Shallow Grave",1994,93,7.4,9401,"R",0,0,0,1,2.5
"1433","Shallow Hal",2001,113,6.1,13217,"PG-13",0,0,1,1,40
"1434","Shanghai Knights",2003,114,6.3,7279,"PG-13",1,0,1,0,50
"1435","Shanghai Noon",2000,110,6.7,12258,"PG-13",1,0,1,0,55
"1436","Shape of Things, The",2003,96,6.9,1816,"R",0,0,0,1,4
"1437","Shark Tale",2004,90,5.9,7819,"PG",1,1,1,0,75
"1438","Shattered Glass",2003,95,7.5,4108,"PG-13",0,0,0,1,6
"1439","Shaun of the Dead",2004,99,7.9,18685,"R",0,0,1,0,4
"1440","Shawshank Redemption, The",1994,142,9.1,149494,"R",0,0,0,1,25
"1441","She's All That",1999,95,5.5,13070,"PG-13",0,0,1,0,10
"1442","She's So Lovely",1997,100,5.7,2280,"R",0,0,1,1,18
"1443","She's the One",1996,96,6,3779,"R",0,0,1,0,3.5
"1444","Shelter Island",2003,82,3.9,191,"R",0,0,0,0,5
"1445","Shine",1996,105,7.6,12425,"PG-13",0,0,0,1,5.5
"1446","Shipping News, The",2001,111,6.9,7695,"R",0,0,0,1,35
"1447","Shooting Fish",1997,103,6.6,2701,"PG",0,0,1,0,3
"1448","Shopping for Fangs",1997,90,7.6,44,"R",0,0,0,0,0.1
"1449","Shot at Glory, A",2000,114,6.3,286,"R",0,0,0,1,9
"1450","Showgirls",1995,131,3.8,11483,"NC-17",0,0,0,1,45
"1451","Showtime",2002,96,5.5,7689,"PG-13",1,0,1,0,85
"1452","Shrek",2001,90,8,65146,"PG",0,1,1,0,60
"1453","Shrek 2",2004,92,7.8,27236,"PG",0,1,1,0,75
"1454","Shrink Is In, The",2001,87,4.9,319,"R",0,0,1,0,6
"1455","Shutter",2001,24,3.5,12,"R",0,0,0,0,0.015
"1456","Sidewalks of New York",2001,108,6.5,1998,"R",0,0,1,0,1
"1457","Sideways",2004,123,8,17051,"R",0,0,1,1,16
"1458","Siege, The",1998,116,5.9,9725,"R",1,0,0,1,70
"1459","Signs",2002,108,7.1,40285,"PG-13",0,0,0,1,72
"1460","Silent Trigger",1996,90,4.7,432,"R",1,0,0,1,15
"1461","Simon Birch",1998,113,6.8,4612,"PG",0,0,1,1,20
"1462","Simple Plan, A",1998,121,7.6,15398,"R",0,0,0,1,17
"1463","Simple Wish, A",1997,89,5,423,"PG",0,0,1,0,28
"1464","Simply Irresistible",1999,94,4.7,3083,"PG-13",0,0,1,0,6
"1465","Sin City",2005,124,8.3,23473,"R",1,0,0,0,45.5
"1466","Sinbad: Legend of the Seven Seas",2003,86,6.5,2340,"PG",0,1,0,0,60
"1467","Singing Detective, The",2003,109,5.3,1184,"R",0,0,1,1,10
"1468","Singles Ward, The",2002,102,5.7,291,"PG",0,0,1,1,0.5
"1469","Siunin Wong Fei-hung tsi titmalau",1993,90,7.4,3173,"PG-13",1,0,1,0,2
"1470","Six-String Samurai",1998,91,6.2,1163,"PG-13",1,0,0,0,2
"1471","Sixth Sense, The",1999,107,8.2,96987,"PG-13",0,0,0,1,55
"1472","Skeletons in the Closet",2000,86,5.4,239,"R",0,0,0,1,1.5
"1473","Skin Deep",2003,89,3.8,31,"R",1,0,1,1,0.4
"1474","Skulls, The",2000,106,5.3,6530,"PG-13",0,0,0,1,15
"1475","Sky Captain and the World of Tomorrow",2004,106,6.5,12579,"PG",1,0,0,0,40
"1476","Slackers",2002,86,4.7,2755,"R",0,0,1,0,11
"1477","Slam",1998,100,7.1,569,"R",0,0,0,1,1
"1478","Slap Her... She's French",2002,92,4.7,811,"PG-13",0,0,1,0,10
